center_x,center_y
314.065,130.691
314.064,131.708
314.064,132.718
314.064,133.745
314.066,134.801
314.068,135.862
314.07,136.865
314.072,137.897
314.075,138.902
314.077,139.921
314.08,140.939
314.082,141.951
314.084,142.983
314.086,144.003
314.106,145.06
314.118,146.06
314.129,147.107
314.14,148.109
314.15,149.118
314.161,150.136
314.172,151.154
314.183,152.171
314.193,153.198
314.204,154.224
314.215,155.287
314.226,156.302
314.237,157.312
314.248,158.379
314.259,159.455
314.271,160.51
314.282,161.521
314.296,162.574
314.311,163.634
314.326,164.666
314.344,165.729
314.363,166.753
314.382,167.858
314.402,168.978
314.42,170.06
314.438,171.126
314.455,172.155
314.473,173.164
314.49,174.225
314.508,175.296
314.524,176.319
314.542,177.46
314.558,178.598
314.571,179.602
314.584,180.621
314.598,181.718
314.611,182.79
314.624,183.825
314.637,184.87
314.649,185.896
314.664,187.05
314.677,188.124
314.69,189.203
314.703,190.271
314.717,191.384
314.729,192.396
314.743,193.474
314.756,194.501
314.768,195.517
314.781,196.577
314.794,197.587
314.806,198.625
314.819,199.67
314.832,200.715
314.844,201.723
314.858,202.797
314.871,203.836
314.884,204.877
314.896,205.9
314.908,206.914
314.92,207.922
314.931,208.936
314.943,209.952
314.955,210.974
314.966,211.985
314.978,213.011
314.99,214.037
315.002,215.109
315.014,216.203
315.026,217.212
315.038,218.226
315.05,219.321
315.062,220.33
315.074,221.382
315.086,222.454
315.099,223.615
315.111,224.672
315.123,225.705
315.136,226.826
315.148,227.872
315.16,228.885
315.173,230.0
315.184,231.02
315.189,232.043
315.197,233.113
315.205,234.143
315.214,235.147
315.223,236.19
315.232,237.216
315.243,238.337
315.253,239.383
315.263,240.532
315.273,241.549
315.283,242.63
315.293,243.672
315.303,244.725
315.312,245.757
315.322,246.832
315.332,247.849
315.341,248.861
315.351,249.983
315.36,251.03
315.369,252.044
315.379,253.082
315.388,254.086
315.396,255.094
315.406,256.112
315.415,257.132
315.424,258.155
315.434,259.207
315.443,260.216
315.451,261.256
315.46,262.261
315.468,263.277
315.477,264.326
315.486,265.345
315.495,266.411
315.489,267.451
315.468,268.476
315.413,269.535
315.265,270.531
315.158,271.547
315.05,272.559
314.942,273.578
314.835,274.575
314.715,275.579
314.54,276.575
314.381,277.614
314.204,278.601
313.96,279.581
313.714,280.56
313.481,281.543
313.248,282.527
313.013,283.519
312.746,284.52
312.445,285.475
312.09,286.412
311.745,287.373
311.409,288.343
311.0,289.274
310.624,290.205
310.24,291.159
309.796,292.084
309.367,293.016
308.908,293.971
308.483,294.88
308.018,295.784
307.478,296.743
306.93,297.636
306.347,298.498
305.787,299.335
305.165,300.13
304.497,300.874
303.856,301.67
303.194,302.439
302.486,303.161
301.7,303.779
300.861,304.384
300.033,304.956
299.183,305.533
298.344,306.09
297.475,306.609
296.601,307.14
295.704,307.616
294.752,307.944
293.808,308.317
292.858,308.686
291.883,308.984
290.926,309.315
289.947,309.589
288.964,309.848
287.97,309.999
286.946,310.177
285.926,310.283
284.912,310.371
283.908,310.447
282.891,310.508
281.88,310.559
280.847,310.597
279.829,310.647
278.789,310.697
277.778,310.745
276.772,310.781
275.754,310.795
